frame,t_ms,frametime_ms,terrain,trees,dwarves,dirty_tiles,mark
# run: build=21c65a0 assets=disk:D:\Workspace\frostvein\assets subdiv=4 vsync=on terrain=1888 trees=259 dwarves=5
263,3784.859,16.605,1888,259,5,0,0
264,3802.788,17.928,1888,259,5,0,0
265,3820.132,17.344,1888,259,5,0,0
266,3837.633,17.501,1888,259,5,0,0
267,3855.863,18.230,1888,259,5,0,0
268,3873.565,17.703,1888,259,5,0,0
269,3890.185,16.620,1888,259,5,0,0
270,3907.401,17.216,1888,259,5,0,0
271,3923.846,16.444,1888,259,5,0,0
272,3941.602,17.756,1888,259,5,0,0
273,3960.058,18.456,1888,259,5,0,0
274,3977.028,16.970,1888,259,5,0,0
275,3993.708,16.680,1888,259,5,0,0
276,4011.281,17.573,1888,259,5,0,0
277,4040.535,29.255,1888,259,5,0,0
278,4045.927,5.391,1888,259,5,0,0
279,4062.635,16.708,1888,259,5,0,0
280,4080.434,17.799,1888,259,5,0,0
281,4097.070,16.636,1888,259,5,0,0
282,4114.849,17.778,1888,259,5,0,0
283,4131.947,17.098,1888,259,5,0,0
284,4149.840,17.893,1888,259,5,0,0
285,4166.591,16.752,1888,259,5,0,0
286,4184.107,17.515,1888,259,5,0,0
287,4201.220,17.114,1888,259,5,0,0
288,4218.280,17.060,1888,259,5,0,0
289,4235.909,17.628,1888,259,5,0,0
290,4253.226,17.317,1888,259,5,0,0
291,4269.378,16.152,1888,259,5,0,0
292,4286.069,16.692,1888,259,5,0,0
293,4303.439,17.370,1888,259,5,0,0
294,4332.490,29.051,1888,259,5,0,0
295,4337.897,5.407,1888,259,5,0,0
296,4355.259,17.362,1888,259,5,0,0
297,4372.490,17.231,1888,259,5,0,0
298,4388.516,16.026,1888,259,5,0,0
299,4405.715,17.198,1888,259,5,0,0
300,4423.149,17.434,1888,259,5,0,0
301,4439.921,16.772,1888,259,5,0,0
302,4457.365,17.445,1888,259,5,0,0
303,4485.801,28.435,1888,259,5,0,0
304,4504.125,18.324,1888,259,5,0,0
305,4509.921,5.797,1888,259,5,0,0
306,4525.943,16.021,1888,259,5,0,0
307,4543.448,17.505,1888,259,5,0,0
308,4560.877,17.429,1888,259,5,0,0
309,4581.134,20.257,1888,259,5,0,0
310,4596.119,14.985,1888,259,5,0,0
311,4612.783,16.664,1888,259,5,0,0
312,4641.435,28.652,1888,259,5,0,0
