frame,t_ms,frametime_ms,terrain,trees,dwarves,dirty_tiles,mark
# run: build=5cd523c assets=disk:D:\Workspace\frostvein\assets subdiv=4 vsync=off terrain=1888 trees=259 dwarves=5
96,419.053,3.600,1888,259,5,0,0
97,422.601,3.548,1888,259,5,0,0
98,426.441,3.840,1888,259,5,0,0
99,431.423,4.981,1888,259,5,0,0
100,435.677,4.254,1888,259,5,0,0
101,439.785,4.109,1888,259,5,0,0
102,443.617,3.832,1888,259,5,0,0
103,447.512,3.895,1888,259,5,0,0
104,451.269,3.757,1888,259,5,0,0
105,454.946,3.677,1888,259,5,0,0
106,458.634,3.687,1888,259,5,0,0
107,462.319,3.685,1888,259,5,0,0
108,466.121,3.801,1888,259,5,0,0
109,470.016,3.895,1888,259,5,0,0
110,473.536,3.520,1888,259,5,0,0
111,477.202,3.665,1888,259,5,0,0
112,480.725,3.524,1888,259,5,0,0
113,484.233,3.508,1888,259,5,0,0
114,488.002,3.769,1888,259,5,0,0
115,491.683,3.681,1888,259,5,0,0
116,495.134,3.451,1888,259,5,0,0
117,498.798,3.665,1888,259,5,0,0
118,502.264,3.465,1888,259,5,0,0
119,505.736,3.472,1888,259,5,0,0
120,509.446,3.710,1888,259,5,0,0
121,512.959,3.513,1888,259,5,0,0
122,516.357,3.398,1888,259,5,0,0
123,520.175,3.818,1888,259,5,0,0
124,523.790,3.615,1888,259,5,0,0
125,527.424,3.634,1888,259,5,0,0
126,531.108,3.684,1888,259,5,0,0
127,534.716,3.609,1888,259,5,0,0
128,538.625,3.909,1888,259,5,0,0
129,542.462,3.837,1888,259,5,0,0
130,546.021,3.558,1888,259,5,0,0
131,549.540,3.519,1888,259,5,0,0
132,553.201,3.661,1888,259,5,0,0
133,556.900,3.699,1888,259,5,0,0
134,560.870,3.970,1888,259,5,0,0
135,564.225,3.355,1888,259,5,0,0
136,567.836,3.612,1888,259,5,0,0
137,572.267,4.431,1888,259,5,0,0
138,574.706,2.439,1888,259,5,0,0
139,578.619,3.913,1888,259,5,0,0
140,582.385,3.766,1888,259,5,0,0
141,586.055,3.670,1888,259,5,0,0
142,589.435,3.380,1888,259,5,0,0
143,592.890,3.455,1888,259,5,0,0
144,596.568,3.679,1888,259,5,0,0
145,600.262,3.694,1888,259,5,0,0
146,604.047,3.785,1888,259,5,0,0
